entity,round,amount_m,date,valuation_b,lead_investor
OpenAI,Seed,1,2015-12,0.01,Y Combinator
OpenAI,Growth,1000,2019-03,1.0,Microsoft
OpenAI,Secondary,10000,2023-01,29.0,Microsoft
OpenAI,Growth,6600,2024-10,157.0,Thrive Capital
Anthropic,Series A,580,2022-04,4.0,Spark Capital
Anthropic,Series B,450,2023-05,4.1,Spark Capital
Anthropic,Series C,2000,2023-09,15.0,Amazon
Anthropic,Series D,2750,2024-03,18.4,Amazon
Anthropic,Series E,8000,2025-01,60.0,Lightspeed
Stripe,Series A,2,2012-02,0.1,Sequoia Capital
Stripe,Series C,80,2014-12,3.5,Founders Fund
Stripe,Series G,600,2020-04,36.0,Andreessen Horowitz
Stripe,Series I,6500,2023-03,50.0,Sequoia Capital
Databricks,Series A,14,2013-09,0.1,Andreessen Horowitz
Databricks,Series G,1600,2021-08,38.0,Counterpoint Global
Databricks,Series I,500,2023-09,43.0,T. Rowe Price
Perplexity,Seed,3.4,2022-08,0.026,Nat Friedman
Perplexity,Series A,26,2024-01,0.52,IVP
Perplexity,Series B,250,2024-06,3.0,Daniel Gross
Cursor,Seed,8,2023-01,0.04,OpenAI Fund
Cursor,Series A,60,2024-08,0.4,Andreessen Horowitz
Cursor,Series B,100,2025-01,2.5,Thrive Capital
Vercel,Series A,21,2020-04,0.1,Accel
Vercel,Series C,150,2021-11,2.5,GV
Vercel,Series D,250,2024-05,3.25,Accel
Mistral AI,Seed,113,2023-06,0.26,Lightspeed
Mistral AI,Series A,415,2023-12,2.0,Andreessen Horowitz
Mistral AI,Series B,640,2024-06,6.0,General Catalyst
Anduril,Series A,41,2018-06,0.45,Andreessen Horowitz
Anduril,Series D,1500,2022-12,7.0,Valor Equity
Anduril,Series F,1500,2024-08,14.0,Founders Fund
Supabase,Seed,6,2020-05,0.03,Y Combinator
Supabase,Series B,80,2022-08,0.5,Felicis
Supabase,Series C,80,2024-04,1.0,Keith Rabois
Linear,Series A,12,2021-06,0.12,Benchmark
Linear,Series B,35,2022-02,0.4,Accel
Linear,Series C,50,2024-10,1.0,Benchmark
Runway,Series A,35,2020-12,0.15,Lux Capital
Runway,Series C,141,2023-06,1.5,Google
Runway,Series D,308,2024-11,4.0,General Atlantic
Groq,Series A,68,2021-04,0.36,TDK Ventures
Groq,Series D,640,2024-08,2.8,BlackRock
Scale AI,Seed,5,2017-06,0.03,Accel
Scale AI,Series C,155,2021-04,3.5,Tiger Global
Scale AI,Series F,1000,2024-05,14.0,Accel
Replit,Seed,4.5,2018-10,0.02,Andreessen Horowitz
Replit,Series B,97,2023-04,1.16,Andreessen Horowitz
Replit,Series C,200,2025-02,3.0,Craft Ventures
Warp,Seed,6,2021-01,0.03,GV
Warp,Series B,50,2024-03,0.74,Figma Ventures
