time,OpenAI,Anthropic,Databricks,Perplexity,Cursor,Groq
00:00,4,6,3,2,5,1
00:05,5,7,4,3,4,2
00:10,6,8,5,4,5,3
00:15,8,7,4,5,6,4
00:20,12,9,6,8,5,6
00:25,18,10,7,12,6,9
00:30,24,12,8,15,7,14
00:35,32,14,9,18,8,18
00:40,38,16,10,14,9,22
00:45,44,18,12,12,10,19
00:50,52,22,14,16,11,16
00:55,48,28,16,22,12,20
01:00,56,34,18,28,14,24
01:05,64,38,16,24,13,28
01:10,72,42,18,20,15,32
01:15,68,36,20,26,16,26
01:20,78,40,22,32,18,30
01:25,84,44,24,28,17,34
01:30,92,48,22,34,19,38
01:35,88,52,26,30,20,36
01:40,96,56,28,36,22,42
01:45,102,50,24,32,21,38
01:50,110,54,26,38,24,44
01:55,104,58,28,34,23,40
02:00,114,62,30,40,26,48
02:05,120,58,28,36,25,44
02:10,128,64,32,42,28,50
02:15,118,60,30,38,27,46
02:20,124,66,34,44,30,52
02:25,132,70,32,40,29,48
02:30,138,68,36,46,32,54
02:35,128,72,34,42,31,50
02:40,136,76,38,48,34,56
02:45,142,74,36,44,33,52
02:50,148,78,40,50,36,58
02:55,140,80,38,46,35,54
03:00,152,84,42,52,38,62
